Peptide Length,Percentage
2,1.9107257546563905
3,13.134232498394349
4,5.218368657675017
5,6.518946692357098
6,4.833012202954399
7,3.5324341682723186
8,2.7617212588310855
9,2.023121387283237
10,2.3281952472703917
11,2.6653821451509314
12,2.1355170199100835
13,1.4932562620423893
14,2.8580603725112397
15,1.605651894669236
16,1.750160565189467
17,1.750160565189467
18,1.5574823378291587
19,1.7983301220295438
20,1.4129736673089275
21,1.750160565189467
22,2.1836865767501603
23,2.3281952472703917
24,2.3281952472703917
25,2.1836865767501603
26,2.424534360950546
28,2.280025690430315
29,2.7135517019910083
30,2.569043031470777
31,2.7617212588310855
34,2.7617212588310855
36,2.6653821451509314
40,3.1791907514450863
43,2.7135517019910083
49,3.8696210661528583
