Method,Dimensions,Time,Accuracy,Precision,Specificity,F1 Score,AUC,MCC
PCA,8,0.5230181217193604,0.8709402056826958,0.9315092066769919,0.9757479739199317,0.7732304835368902,0.8183379674239463,0.7063811159564094
UMAP,8,15.064741611480713,0.8648835413194585,0.9800710339384373,0.993845591371641,0.7492834515009805,0.8001584489214737,0.6994992668149386
PCA,16,0.5014314651489258,0.8854111621478802,0.9460222554392957,0.9801962098592407,0.8016325381746534,0.8378392526707681,0.7406148376775127
UMAP,16,17.419573545455933,0.8625665623348644,0.9842900302114803,0.9952470903662178,0.7429874572405929,0.7959751935347573,0.6950381517629322
PCA,32,0.5863308906555176,0.8997601723507175,0.9504249291784702,0.9808055572481872,0.8304455445544554,0.8590840973054122,0.7732435393398106
UMAP,32,18.256431579589844,0.8656558676476566,0.9820406552200514,0.9944549387605874,0.750697744587765,0.8010125731653975,0.7015410068403025
PCA,64,0.9597723484039307,0.9087435470102841,0.9527798933739527,0.9811102309426604,0.8478481870552355,0.872423247339462,0.7935764537546562
UMAP,64,20.712600469589233,0.8649648388276899,0.9825535289452815,0.9946377429772714,0.748979900256914,0.7998829740527383,0.7000879808306445
t-SNE,2,28.190409183502197,0.8693955530262998,0.9489446148295148,0.9827554688928158,0.766038010631326,0.812501055569729,0.7049849687431216
t-SNE,3,101.57057738304138,0.8721190195520507,0.9364832121841468,0.9776369508256657,0.7747709049255441,0.8191603557547131,0.7096026356378915
