Method,Dimensions,Time,Accuracy,Precision,Specificity,F1 Score,AUC,MCC
PCA,8,0.05318951606750488,0.9332415691672402,0.9500390320062451,0.9780445969125214,0.893211009174312,0.9104211904230198,0.8481131068686337
UMAP,8,12.910077571868896,0.9314062858453774,0.9605792437650845,0.9831903945111492,0.8887234834387793,0.905030100302666,0.8444732215490494
PCA,16,0.07503771781921387,0.9493002982335398,0.981117230527144,0.9917667238421956,0.9186003683241253,0.9276700655222058,0.8857890430577247
UMAP,16,6.797563791275024,0.9201651754989677,0.9581939799331104,0.9828473413379074,0.8681818181818182,0.8882380751010865,0.8190601774079085
PCA,32,0.07995891571044922,0.9573296627666896,0.9906396255850234,0.9958833619210977,0.9317681584739546,0.9376923734813245,0.9042616037836776
UMAP,32,6.3754425048828125,0.9245239733883919,0.9626556016597511,0.9845626072041166,0.8758021895054737,0.8939433534635541,0.8291675195616968
PCA,64,0.11418032646179199,0.9653590272998395,0.9969254419677172,0.9986277873070326,0.9449908925318762,0.9484136166452061,0.9224742987551764
UMAP,64,7.8804612159729,0.9208534067446662,0.9606035205364627,0.9838765008576329,0.8691695108077361,0.8887526548609493,0.8207871764849594
t-SNE,2,3.923123836517334,0.8999770589584767,0.9540540540540541,0.9825042881646655,0.8292873923257635,0.8579418947748536,0.773408711353897
t-SNE,3,11.378051996231079,0.9194769442532691,0.918133129303749,0.9632933104631218,0.8724100327153762,0.8971591206055222,0.8159571526843615
