Method,Dimensions,Time,Accuracy,Precision,Specificity,F1 Score,AUC,MCC
PCA,8,0.1566450595855713,0.8537424201285184,0.9095659163987139,0.9695740365111561,0.7368935200260501,0.7944476641231204,0.6632908910373493
UMAP,8,6.852684259414673,0.8577246809666033,0.9573813708260105,0.9868830290736984,0.7349072512647555,0.7916079075308284,0.6784572057346382
PCA,16,0.1932833194732666,0.8763689021630917,0.9349809885931559,0.9768762677484787,0.782622533418205,0.8249187031134292,0.7178768334078869
UMAP,16,7.53233790397644,0.8586297402479862,0.9543874891398784,0.9858012170385395,0.7377434519811954,0.793530055700441,0.6800701459824586
PCA,32,0.22676491737365723,0.8946510996470268,0.946236559139785,0.9797160243407708,0.819366852886406,0.8511059596252294,0.7604238380450232
UMAP,32,7.450111627578735,0.859172775816816,0.9529360967184801,0.9852603110209601,0.7393634840871022,0.7946279661289803,0.6810928426836479
PCA,64,0.32686281204223633,0.9148339216218663,0.9547435467650017,0.9817444219066938,0.8582190748832303,0.8805821179046331,0.8066330260950835
UMAP,64,9.079771518707275,0.861344918092135,0.9522591645353794,0.9848546315077755,0.7446666666666667,0.7981197076531762,0.6859232870246744
t-SNE,2,10.935471534729004,0.8627025070142095,0.9331171463315768,0.9776876267748479,0.7521646789740238,0.8038410766605492,0.6865165523476217
t-SNE,3,40.121931314468384,0.8665037559960177,0.9284309870232009,0.9753887762001352,0.7619816040019364,0.8107649956534337,0.6946716594840938
