Peptide Length,Percentage
2,0.2589273011808223
3,0.386968274292218
4,0.29022620571916347
5,0.5576895717740787
6,1.2917911509460807
7,1.1296059183383127
8,1.391378574477166
9,3.6534357661118224
10,1.5649452269170578
11,2.0571916346564234
12,4.279413856878646
13,5.124484279413856
14,2.8368188931569214
15,4.842794138568786
16,2.38440745482999
17,2.700241855171433
18,3.8526106131739937
19,2.520984492815479
20,4.8684023331910655
21,2.7599943092900836
22,1.6161616161616161
23,2.205150092474036
24,2.9563238013942237
25,2.358799260207711
26,1.8124911082657562
27,2.0856451842367334
28,1.9462227912932137
29,2.503912363067293
30,2.6404894010527813
31,1.9291506615450278
32,1.232038696827429
33,2.768530374164177
34,1.6246976810357094
35,2.4697681035709205
36,2.000284535495803
37,2.0258927301180822
38,1.3430075401906387
39,1.172286242708778
40,1.2661829563238014
41,1.1466780480864989
42,1.1552141129605917
43,1.1893583724569639
44,1.0271731398491963
45,1.2917911509460807
46,1.744202589273012
47,1.2917911509460807
48,0.8479157774932423
49,0.9731113956466069
50,2.623417271304595
