Peptide Length,Percentage
2,0.2981392001644906
3,0.47291045543332993
4,0.3495425105376786
5,0.6682430348514444
6,1.5523799732702788
7,1.357047393852164
8,1.6757479181659298
9,4.400123367944896
10,1.881361159658682
11,2.241184332270998
12,4.893595147527501
13,6.168397244782565
14,3.2075665672869333
15,5.5926801686028575
16,2.570165518659402
17,2.929988691271718
18,4.307597409273157
19,2.7449367739282406
20,5.654364141050683
21,2.8785853808985298
22,1.5626606353449164
23,2.333710290942737
24,3.1047599465405575
25,2.343990953017374
26,1.7065899043898425
27,1.9738871183304203
28,1.7682738768376685
29,2.5496041945101267
30,2.724375449778966
31,1.6654672560912922
32,1.0897501799115863
33,2.66269147733114
34,1.357047393852164
35,2.343990953017374
36,1.8402385113601316
37,1.8196771872108564
38,1.0589081936876734
39,0.6990850210753572
40,0.8738562763441966
41,0.6476817107021692
42,0.6168397244782564
43,0.8532949521949212
44,0.6476817107021692
45,0.7916109797470957
46,1.2336794489565128
47,0.9458209108666599
48,0.3598231726123162
49,0.37010383468695385
50,2.2103423460470855
