Peptide Length,Percentage
2,0.4915514592933948
3,0.5529953917050692
4,0.7680491551459293
5,1.3824884792626728
6,3.164362519201229
7,2.5192012288786483
8,2.7342549923195083
9,7.71121351766513
10,2.1198156682027647
11,1.6282642089093702
12,4.45468509984639
13,6.820276497695852
14,2.672811059907834
15,9.400921658986174
16,1.935483870967742
17,2.3655913978494625
18,6.912442396313365
19,2.089093701996928
20,9.861751152073733
21,1.2903225806451613
22,0.7987711213517665
23,0.9523809523809524
24,0.8602150537634409
25,1.7204301075268817
26,0.6451612903225806
27,0.7680491551459293
28,1.41321044546851
29,1.7511520737327189
30,2.488479262672811
31,0.7680491551459293
32,0.4915514592933948
33,1.4439324116743473
34,1.8125960061443933
35,4.577572964669739
36,3.963133640552995
37,0.8294930875576038
38,0.7680491551459293
39,0.3379416282642089
40,0.43010752688172044
41,0.3686635944700461
42,0.4915514592933948
43,0.3379416282642089
44,0.1228878648233487
45,0.2764976958525346
46,0.2764976958525346
47,0.030721966205837174
48,0.18433179723502305
49,0.09216589861751152
50,0.1228878648233487
