Peptide Length,Percentage
2,0.3615910004017678
3,0.16070711128967458
4,0.24106066693451184
5,1.245480112494978
6,1.7276014463640015
7,6.347930895942146
8,2.6918441141020493
9,7.030936118923263
10,3.7364403374849338
11,3.9775010044194454
12,6.508638007231821
13,6.910405785456006
14,2.772197669746886
15,4.017677782241864
16,3.495379670550422
17,3.4150261149055847
18,3.374849337083166
19,3.4150261149055847
20,4.981920449979912
21,1.888308557653676
22,2.209722780233025
23,1.4865407794294898
24,3.374849337083166
25,2.3704298915227002
26,1.245480112494978
27,1.2053033346725592
28,1.7276014463640015
29,2.3704298915227002
30,2.450783447167537
31,1.6070711128967456
32,0.9642426677380473
33,0.8838891120932101
34,1.1249497790277219
35,0.3615910004017678
36,0.44194455604660504
37,1.2053033346725592
38,0.6830052229811169
39,0.7231820008035356
40,0.9240658899156288
41,0.44194455604660504
42,0.32141422257934915
43,0.5222981116914424
44,0.3615910004017678
45,0.28123744475693047
46,0.6830052229811169
47,0.6026516673362796
48,0.2008838891120932
49,0.24106066693451184
50,0.6830052229811169
