Peptide Length,Percentage
2,0.24784206478078796
3,0.3931287924109051
4,0.29057345526023415
5,0.5555080762328006
6,1.2904879924792751
7,1.1281087086573798
8,1.393043329629946
9,3.657807025040595
10,1.563968891547731
11,2.0596530211093067
12,4.28168532604051
13,5.127766857533544
14,2.837364327835228
15,4.845739680369199
16,2.3844115887530983
17,2.7006238783009997
18,3.8543714212460474
19,2.521152038287326
20,4.871378514656867
21,2.7604478249722244
22,1.6152465601230663
23,2.204939748739424
24,2.9570122211776773
25,2.35877275446543
26,1.811810956328519
27,2.085291855396975
28,1.9485514058627467
29,2.5040594820955473
30,2.6407999316297754
31,1.9314588496709684
32,1.2306640458080507
33,2.7689941030681138
34,1.6237928382189557
35,2.4698743697119907
36,1.9998290744380822
37,2.02546790872575
38,1.3417656610546107
39,1.170840099136826
40,1.2648491581916075
41,1.1452012648491583
42,1.1537475429450474
43,1.1879326553286045
44,1.0255533715067089
45,1.2904879924792751
46,1.743440731561405
47,1.2904879924792751
48,0.8460815314930348
49,0.9742757029313733
50,2.6237073754379967
