Peptide Length,Percentage
2,0.30493615399275775
3,0.34305317324185247
4,0.476462740613684
5,0.8576329331046313
6,1.963026491328378
7,1.5627977892128835
8,1.696207356584715
9,4.783685915761388
10,1.315037164093768
11,1.2769201448446732
12,3.182771107299409
13,4.650276348389556
14,1.963026491328378
15,6.117781589479702
16,1.753382885458357
17,2.115494568324757
18,4.726510386887745
19,1.9820850009529254
20,6.117781589479702
21,1.5627977892128835
22,1.4865637507146943
23,1.2769201448446732
24,1.162569087097389
25,1.8105584143319993
26,1.1053935582237469
27,1.3722126929674099
28,2.115494568324757
29,1.8105584143319993
30,2.4204307223175148
31,1.2006861063464835
32,1.2388031255955785
33,2.0392605298265676
34,2.401372212692967
35,3.9451114922813035
36,3.6782923575376407
37,1.9249094720792832
38,1.7724413950829045
39,1.4103297122165046
40,1.6390318277110731
41,1.7152658662092626
42,1.3722126929674099
43,1.3912712025919574
44,1.5627977892128835
45,1.696207356584715
46,1.2388031255955785
47,1.3340956737183152
48,1.7724413950829045
49,1.5437392795883362
50,1.8105584143319993
