Peptide Length,Percentage
2,0.3021148036253776
3,0.09579249871048559
4,0.13263576744528774
5,0.68528479846732
6,0.9505563333578956
7,3.5001105298062045
8,1.4810994031390465
9,3.8759118709011866
10,2.0632230491489203
11,2.704295925134478
12,3.8759118709011866
13,3.8759118709011866
14,2.276914007810773
15,2.9032495763024095
16,2.4611303514847838
17,2.689558617640557
18,2.3948124677621396
19,2.859037653820647
20,3.3453688011200358
21,2.122172279124604
22,2.2179647778350895
23,1.834794782993147
24,2.8148257313388845
25,2.3948124677621396
26,1.7537395917765826
27,2.0632230491489203
28,2.1884901628472475
29,2.122172279124604
30,2.409549775256061
31,2.3063886227986146
32,1.6358411318252157
33,1.7316336305357012
34,1.7758455530174637
35,1.4589934418981652
36,1.5474172868616904
37,1.930587281703633
38,1.5989978630904134
39,1.6358411318252157
40,1.9969051654262766
41,1.5105740181268883
42,1.9526932429445139
43,1.9969051654262766
44,1.4810994031390465
45,1.797951514258345
46,1.8642693979809888
47,1.7758455530174637
48,1.7758455530174637
49,1.8642693979809888
50,1.967430550438435
