Peptide Length,Percentage
2,1.5406836783822822
3,13.962445835339432
4,5.247953779489649
5,6.499759268175252
6,4.814636494944632
7,3.514684641309581
8,2.74434280211844
9,2.0221473278767452
10,2.311025517573423
11,2.6480500722195472
12,2.118440057775638
13,1.4925373134328357
14,2.8406355320173327
15,1.5888300433317286
16,1.7332691381800676
17,1.7332691381800676
18,1.5406836783822822
19,1.7814155031295138
20,1.3962445835339432
21,1.7332691381800676
22,2.1665864227250844
23,2.311025517573423
24,2.311025517573423
25,2.1665864227250844
26,2.407318247472316
28,2.262879152623977
29,2.696196437168994
30,2.5517573423206548
31,2.74434280211844
34,2.74434280211844
36,2.6480500722195472
40,3.1776600866634572
43,2.696196437168994
49,3.8517091959557055
