Peptide Length,Percentage
2,0.34209692746278114
3,0.34209692746278114
4,0.4814697497624327
5,0.8615774469433006
6,1.9638897687678176
7,1.5647766867279063
8,1.69781438074121
9,4.770351599619892
10,1.3177066835603422
11,1.2796959138422552
12,3.1802343997465945
13,4.643649033892936
14,1.9638897687678176
15,6.107063668039278
16,1.7548305353183402
17,2.115932847640165
18,4.7133354450427625
19,1.9702248970541651
20,6.107063668039278
21,1.5647766867279063
22,1.4887551472917326
23,1.2796959138422552
24,1.165663604687995
25,1.8118466898954706
26,1.1086474501108647
27,1.3747228381374723
28,2.115932847640165
29,1.8118466898954706
30,2.4136838770985114
31,1.197339246119734
32,1.2416851441241685
33,2.0399113082039912
34,2.394678492239468
35,3.9404497941083303
36,3.6743744060817236
37,1.9258789990497307
38,1.7675007918910357
39,1.4127336078555592
40,1.6407982261640797
41,1.7168197656002533
42,1.3747228381374723
43,1.3937282229965158
44,1.5647766867279063
45,1.69781438074121
46,1.2416851441241685
47,1.3367120684193856
48,1.7675007918910357
49,1.5457713018688628
50,1.8118466898954706
